id,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,type,feature10,feature11,rating
5214,9.2,3.7,5.6000000000000005,3.3,10.2,10.1,9.996,0.23,3.4,new,9.6,0.65,2
4210,13.4,2.6,1.7000000000000002,3.08,5.0,9.8,9.939,0.21,6.0,old,6.0,0.54,3
749,17.5,5.1,3.0,3.04,2.5,11.4,9.927999999999999,0.42,7.35,old,7.3,0.32,3
1985,18.1,4.8,1.9,3.2,4.9,9.1,10.006,0.58,16.65,old,8.1,0.62,3
2292,20.8,3.9,3.2,3.18,5.4,9.9,9.9272,0.23,1.2,old,6.5,0.46,3
2366,22.7,4.0,3.3000000000000003,3.12,5.0,9.0,9.9679,0.44,7.6,old,7.4,0.52,2
2045,7.1,1.1,2.4,3.08,4.2,10.6,9.926,0.35,0.6,old,8.7,0.38,2
2081,9.5,1.8,4.2,3.22,4.6,10.7,9.959,0.14,10.7,old,7.5,0.33,2
1249,19.5,4.6,5.699999999999998,3.15,5.1,10.4,9.981,0.44,10.7,old,8.4,0.51,2
6002,2.5,1.6,4.8,3.28,7.3,12.4,9.936,0.34,2.2,new,8.0,0.66,3
3982,13.4,6.1,2.4,3.19,3.3000000000000003,11.9,9.903,0.26,1.7,old,6.1,0.81,4
3374,13.5,5.7,1.9,3.32,4.5,9.5,9.9341,0.21,1.7,old,5.9,0.44,2
4503,10.4,3.1,6.1,3.26,4.1,14.05,9.908999999999999,0.01,8.4,old,5.8,0.72,4
708,13.0,4.4,2.0,3.11,5.0,10.0,9.9855,0.44,13.9,old,7.7,0.48,3
743,15.2,3.8,2.6,3.33,3.4000000000000004,9.4,9.977,0.25,12.5,old,5.9,0.43,2
820,8.5,2.4,3.6,3.41,2.1,12.4,9.8965,0.29,1.6,old,6.6,0.61,6
2745,9.9,1.9,4.4,3.26,3.2,12.8,9.9015,0.22,4.3,old,6.7,0.53,4
3690,15.0,3.7,2.1,3.3,2.7,11.5,9.91,0.24,4.4,old,5.6,0.31,4
4333,15.5,4.5,1.9,2.94,5.7,8.8,9.9807,0.27,13.9,old,7.3,0.41,5
5194,7.0,2.6,8.299999999999999,3.16,8.6,9.9,9.981,0.37,2.6,new,10.6,0.52,2
3551,11.0,3.9,2.2,3.24,4.4,9.0,9.9855,0.22,16.65,old,5.7,0.48,3
4461,15.7,2.9,2.8000000000000003,3.27,4.4,10.6,9.9312,0.24,2.4,old,7.7,0.56,3
3704,18.0,2.6,2.4,3.05,5.0,9.1,9.9884,0.31,13.1,old,7.5,0.53,3
3549,15.9,4.9,3.3000000000000003,3.41,3.1,11.0,9.919,0.2,1.8,old,6.0,0.53,3
2322,12.1,2.3,4.1,3.24,3.6000000000000005,9.9,9.9228,0.04,1.3,old,6.1,0.61,3
4521,19.1,4.8,3.6,3.17,4.8,9.6,9.929,0.2,2.0,old,6.3,0.51,2
1550,15.7,3.6,1.7999999999999998,3.18,5.1,10.6,9.953,0.49,5.2,old,7.9,0.48,3
4622,13.1,3.5,5.0,3.26,3.6000000000000005,13.0,9.902000000000001,0.22,4.1,old,6.5,0.55,4
5256,2.3,1.0,4.3,3.15,10.9,10.4,10.0,0.66,3.1,new,11.9,0.85,4
2089,15.0,4.7,1.7000000000000002,3.29,5.3,9.6,9.948,0.32,1.6,old,7.9,0.76,3
3319,14.8,4.8,2.1,3.5,4.7,10.4,9.9168,0.28,1.4,old,5.1,0.49,2
4664,11.4,3.1,1.6,3.32,3.4000000000000004,10.13333333,9.9365,0.34,6.1,old,6.1,0.58,4
1151,22.3,7.1,3.2,3.14,4.1,8.9,9.959,0.18,7.5,old,6.8,0.41,2
5222,5.0,1.3,4.9,3.16,7.1,9.2,10.015,0.2,11.0,new,10.0,0.69,3
1755,14.2,4.7,2.5,3.14,3.9,9.7,9.9705,0.23,14.9,old,6.3,0.35,3
2879,8.8,2.4,3.7,3.18,2.9,11.7,9.8883,0.3,1.1,old,5.7,0.39,3
1880,21.3,4.5,3.0,3.18,4.5,9.2,9.991,0.42,14.3,old,7.7,0.63,2
5994,1.7,0.9,7.25,3.35,11.7,10.8,9.9655,0.09,5.5,new,6.6,0.49,3
3245,11.5,3.7,2.7,3.09,5.9,9.8,9.9328,0.29,2.5,old,7.6,0.37,2
5566,3.1,1.5,7.3,3.15,5.9,11.0,9.966,0.43,2.3,new,10.0,0.57,2
5244,3.4,1.7,8.149999999999999,3.58,7.200000000000001,12.3,9.955,0.02,2.7,new,6.6,0.89,4
484,20.0,7.9,3.7,3.29,34.6,9.6,9.954,0.3,6.6,old,6.2,0.58,2
922,15.3,5.6,3.2,3.13,3.6000000000000005,8.9,9.978,0.62,10.6,old,7.7,0.44,3
5610,3.3,1.3,6.9,3.36,8.4,9.4,9.992,0.0,3.2,new,8.7,0.45,2
4071,7.6,2.3,2.6,2.96,4.8,12.0,9.903,0.32,1.3,old,7.6,0.46,3
1266,11.6,3.6,2.8000000000000003,2.99,2.8,12.3,9.91,0.34,4.2,old,7.5,0.41,5
1610,10.9,4.4,3.2,3.07,3.1,12.5,9.906,0.49,1.7,old,7.5,0.46,3
3680,18.3,7.95,1.5,3.24,4.4,10.2,9.974200000000002,0.41,12.9,old,6.8,0.78,3
3701,13.9,2.3,2.6,3.06,5.0,9.2,9.9904,0.22,18.15,old,6.6,0.5,2
418,9.9,2.7,2.1,3.19,4.1,9.8,9.927,0.27,1.2,old,7.4,0.33,3
1403,12.8,2.9,2.6,3.34,4.4,10.9,9.937,0.31,2.2,old,7.1,0.64,5
4679,16.8,6.9,3.35,3.47,3.6000000000000005,10.5,9.9212,0.14,1.3,old,4.7,0.46,2
2486,12.2,3.7,2.4,3.02,7.9,8.8,9.9662,0.32,10.3,old,6.7,0.45,2
5599,2.5,0.8,6.5,3.47,6.6000000000000005,9.5,9.972000000000001,0.02,2.1,new,7.0,0.67,3
6197,0.9,0.5,15.8,3.5,13.699999999999998,10.9,9.9476,0.0,2.1,new,7.6,0.4,0
2116,6.8,1.9,2.0,3.14,3.4000000000000004,11.7,9.902000000000001,0.27,1.2,old,6.8,0.37,1
2852,15.4,3.7,2.0,3.08,4.1,11.9,9.9093,0.39,1.0,old,7.9,0.43,2
3173,12.4,3.9,3.3000000000000003,2.99,3.6000000000000005,12.4,9.9123,0.34,7.5,old,6.7,0.32,5
4308,8.7,1.6,2.6,3.33,3.6000000000000005,11.8,9.9081,0.29,2.0,old,6.2,0.61,3
4857,11.6,1.9,3.8,3.08,4.3,11.4,9.9444,0.33,9.2,old,7.5,0.42,3
1288,10.9,2.9,3.2,3.15,2.9,12.8,9.902000000000001,0.33,1.4,old,7.2,0.51,4
3350,13.2,4.1,2.2,3.08,6.0,11.3,9.935,0.28,7.2,old,7.2,0.59,3
5795,4.3,2.7,5.9,3.42,8.0,10.7,9.955,0.01,2.3,new,7.1,0.58,3
685,20.1,5.4,3.6,3.25,5.1,9.0,9.976,0.26,13.2,old,6.2,0.46,2
3258,19.3,3.9,1.9,3.1,4.5,9.2,9.986,0.31,14.5,old,7.4,0.5,3
2658,15.8,6.5,1.5,3.26,5.2,10.3,9.968799999999998,0.44,12.6,old,6.5,0.7,4
74,9.6,3.0,2.3000000000000003,3.33,4.6,10.7,9.926,0.31,2.1,old,6.7,0.64,5
773,17.2,4.9,2.7,3.4,3.9,9.4,9.9985,0.3,16.7,old,6.1,0.45,2
6160,6.6,3.4,4.5,3.15,8.1,9.8,9.9726,0.38,2.5,new,9.8,0.58,2
3233,9.3,2.1,2.0,3.18,3.5000000000000004,11.9,9.9364,0.29,11.8,old,6.2,0.34,3
6020,3.3,2.7,4.699999999999998,3.45,5.5,12.3,9.922,0.0,1.4,new,6.3,0.48,3
5354,2.2,0.5,5.9,3.37,9.5,10.3,9.986,0.39,2.3,new,8.9,0.58,2
249,11.9,1.8,4.1,3.38,3.7000000000000006,10.0,9.96,0.14,10.4,old,,0.45,2
715,15.0,4.1,2.1,3.49,3.8,10.5,9.933,0.27,1.7,old,6.2,0.71,4
5672,4.5,0.2,4.0,3.31,15.7,9.5,9.9727,0.3,1.8,new,7.9,0.91,3
2037,16.0,3.2,2.9,3.14,4.2,10.7,9.944,0.26,6.5,old,7.6,0.47,2
972,15.3,3.8,2.2,,3.9,9.0,9.994,0.35,17.5,old,6.8,0.42,3
659,23.45,12.25,2.9,3.15,3.8,10.0,9.922,0.16,1.4,old,6.8,0.47,1
5027,1.9,0.6,3.8,3.42,7.200000000000001,9.4,9.955,0.15,1.8,new,6.1,0.57,2
671,10.1,2.2,2.8000000000000003,3.29,3.8,11.6,9.912,0.36,1.7,old,6.6,0.57,3
1498,8.6,2.3,2.7,3.16,4.1,12.5,9.914,0.49,1.8,old,7.7,0.42,3
1013,21.0,6.2,2.5,3.19,4.8,9.5,9.968,0.47,11.6,old,6.2,0.5,2
450,17.4,2.1,6.0,3.03,7.000000000000001,9.1,9.971,0.2,9.9,old,7.2,0.54,2
4530,16.25,6.2,2.8000000000000003,3.06,4.9,9.1,9.984,0.54,12.9,old,7.3,0.45,3
3065,12.0,5.4,1.5,3.18,4.5,9.8,9.975,0.38,15.3,old,7.0,0.42,3
1521,12.1,1.7,3.0,3.13,3.4000000000000004,9.2,9.933,0.24,1.2,old,6.6,0.36,2
5079,11.0,2.3,6.1,3.12,27.0,9.3,9.972000000000001,0.49,2.0,new,8.9,1.02,2
2013,13.3,3.8,3.2,3.22,4.6,10.4,9.979,0.22,16.7,old,6.6,0.67,3
2805,12.3,3.6,2.0,3.34,4.0,10.8,9.9238,0.26,1.6,old,7.3,0.44,3
5298,12.4,6.8,7.35,3.47,12.2,9.9,9.994,0.02,7.9,new,6.6,0.53,2
5985,3.0,1.8,1.9,3.29,5.7,11.2,9.94,0.42,1.6,new,7.9,0.69,3
2224,15.7,2.5,4.5,3.06,5.1,11.4,9.957,0.28,10.8,old,8.0,0.47,4
115,10.3,0.8,4.85,3.63,6.5,9.7,9.94,0.0,1.5,old,5.5,0.4,1
4714,11.1,2.5,2.2,3.03,3.1,11.8,9.8966,0.4,1.85,old,6.1,0.3,4
3584,7.8,1.4,2.5,2.94,2.8,11.5,9.9238,0.28,7.25,old,7.4,0.37,4
4402,17.6,4.0,4.3,3.17,4.3,12.3,9.9116,0.26,5.2,old,6.8,0.41,3
1217,22.0,2.4,6.1,2.94,30.1,9.2,9.993,0.38,12.1,old,8.0,0.48,2
2258,20.5,5.7,4.8,3.24,4.9,9.3,9.974799999999998,0.28,10.4,old,7.6,0.45,2
1373,18.1,3.7,2.2,2.87,4.4,9.5,9.98,0.56,8.2,old,10.7,0.68,3
542,16.7,1.4,3.5,3.34,4.5,9.9,9.92,0.35,1.1,old,5.5,0.68,3
1577,12.8,1.7,6.4,3.31,5.0,10.6,9.946,0.49,1.8,old,7.1,0.58,1
2333,10.6,6.4,3.7,3.45,2.4,12.6,9.8993,0.28,1.9,old,6.8,0.6,5
2732,13.5,1.3,5.1,3.09,4.9,10.0,9.9335,0.34,2.6,old,7.9,0.51,2
3810,16.2,4.2,2.6,3.24,6.0,10.5,9.9705,0.34,15.1,old,6.8,0.52,0
224,14.0,3.1,4.95,3.39,4.6,10.4,9.929,0.22,1.8,old,6.3,,3
4926,3.5,1.4,7.1,3.47,8.0,9.4,9.972000000000001,0.0,1.9,new,7.1,0.55,2
3410,14.8,3.2,3.0,3.15,3.2,11.5,9.945799999999998,0.35,4.6,old,8.9,0.45,4
4223,5.1,0.6,4.3,3.51,2.9,11.2,9.9076,0.11,1.1,old,5.3,0.48,1
1856,18.1,3.4,9.1,3.11,5.6,10.0,9.968,0.42,1.6,old,10.0,0.46,1
6059,2.1,1.2,4.5,3.21,7.6,10.2,9.9551,0.43,1.4,new,8.8,0.75,3
499,18.9,7.0,4.0,3.08,4.1,8.6,9.976,0.62,10.8,old,7.2,0.49,1
6405,1.2,0.5,3.8,3.36,10.6,11.4,9.9605,0.57,2.3,new,7.5,0.55,3
2397,10.1,1.3,1.9,3.17,3.7000000000000006,11.8,9.916,0.27,4.9,old,6.5,0.41,3
2500,13.3,3.2,2.1,3.27,4.6,8.8,10.0,0.36,18.1,old,6.8,0.48,2
6181,6.9,1.7,6.3,3.26,9.6,10.2,9.9734,0.28,2.7,new,8.7,0.63,3
6054,8.8,4.5,1.7999999999999998,3.33,7.1,11.8,9.9524,0.51,1.75,new,8.5,0.76,4
6083,3.9,0.6,4.3,3.33,8.5,11.9,9.9346,0.3,2.0,new,7.0,0.46,3
3053,10.2,2.6,1.7000000000000002,3.09,4.2,9.5,9.9427,0.36,4.5,old,7.6,0.47,2
644,16.6,3.2,2.4,3.31,5.1,9.5,9.968,0.29,11.4,old,6.4,0.45,2
6377,2.2,1.0,2.8000000000000003,3.39,10.4,10.6,9.9828,0.6,3.0,new,8.2,0.68,2
4573,9.9,3.1,3.2,3.1,2.6,12.4,9.896,0.23,3.3,old,6.8,0.4,3
3578,12.4,0.5,2.2,3.1,3.8,11.2,9.9098,0.22,1.2,old,6.7,0.37,1
5471,4.7,1.4,5.9,3.3,7.000000000000001,9.6,9.991,0.49,2.1,new,10.5,0.56,1
3034,15.6,3.6,2.5,3.15,4.2,9.4,9.9604,0.47,8.4,old,6.9,0.55,3
1804,19.1,5.7,3.0,3.08,4.9,9.3,9.966,0.22,10.2,old,7.6,0.4,3
3965,10.2,1.8,3.8,3.1,5.0,11.2,9.9304,0.23,6.5,old,7.3,0.55,1
2587,8.9,1.5,1.4,3.22,3.9,9.2,9.919,0.25,0.7,old,5.1,0.43,3
3325,12.6,4.2,2.5,3.12,3.5000000000000004,12.6,9.9048,0.28,5.0,old,6.8,0.38,4
836,17.7,3.0,2.5,3.25,3.4000000000000004,11.9,9.9085,0.36,2.1,old,7.3,0.4,5
1449,17.2,4.9,1.9,3.2,3.6000000000000005,11.5,9.932,0.49,6.6,old,6.9,0.27,3
1677,15.6,6.0,2.3000000000000003,3.11,3.2,11.1,9.92,0.37,1.8,old,7.3,0.35,3
349,13.7,5.6,1.7000000000000002,3.15,5.4,10.0,9.97,0.45,11.2,old,7.6,0.47,2
4552,10.4,2.0,5.5,3.22,2.7,13.1,9.924,0.26,9.6,old,6.4,0.73,3
4403,18.7,4.1,2.2,3.19,6.6000000000000005,9.733333333,9.9362,0.46,6.2,old,5.2,0.42,2
855,11.6,3.0,2.0,3.49,3.8,10.3,9.949,0.35,2.1,old,7.4,0.77,4
459,24.9,8.3,4.3,3.37,5.9,8.5,9.971,0.35,9.1,old,6.1,0.5,2
718,15.0,4.1,2.1,3.49,3.8,10.5,9.933,0.27,1.7,old,6.2,0.71,4
4707,11.5,3.1,2.05,3.4,5.1,10.8,9.9564,0.16,12.55,old,5.6,0.38,3
